ファミリーファームの冒険,COINCOME,8210,8210
ファミリーファームの冒険,ワラウ,8200,8200
ファミリーファームの冒険,ちょびリッチ,7712,7712
ファミリーファームの冒険,げん玉 (AppDriver),7173.6,7173.6
ファミリーファームの冒険,モッピー (AppDriver),6357,6357
ようとん場MIX,ワラウ,200,174
ようとん場MIX,アメフリ,195,165
ようとん場MIX,GMOポイ活,167,143
ようとん場MIX,COINCOME,120,102
ようとん場MIX,Powl,85,70
ようとん場MIX,げん玉,66.3,0
実りの地 レベル30,ポイントインカム (myChips),1511.6,0
実りの地 レベル30,げん玉 (myChips),1402.9,0
実りの地 レベル30,ワラウ (SmaAD),1320,924
実りの地 レベル30,ハピタス (myChips),1299,0
実りの地 レベル30,Powl (myChips),1298.9,0
実りの地 レベル30,ちょびリッチ (myChips),1291.5,0
実りの地 レベル30,ポイントタウン (SmaAD),1275,893
ウルフゲーム,ちょびリッチ (SKYFLAG),7133.5,4718
ウルフゲーム,Powl (SKYFLAG),5189.4,5189.4
ウルフゲーム,モッピー (SKYFLAG),5013,0
ウルフゲーム,COINCOME (SKYFLAG),5013,5013
ウルフゲーム,ワラウ,5000,5000
ウルフゲーム,アメフリ,4831,4831
Dice Dreams,Powl (AppDriver),25449.6,29880
Dice Dreams,モッピー (AppDriver),25149,29528
Dice Dreams,ハピタス (AppDriver),22659,26602
Dice Dreams,げん玉 (AppDriver),21757.8,25546.4
Dice Dreams,ちょびリッチ (AppDriver),19085.5,22407
Dice Dreams,ポイントインカム (myChips),0,16106.3
Domino Dreams,モッピー (myChips),25835,7042
Domino Dreams,Powl (AppDriver),0,22958.4
Domino Dreams,ハピタス (AppDriver),19998,20440
Domino Dreams,げん玉 (AppDriver),19204.2,19627.4
Domino Dreams,ポイントインカム (myChips),17720.5,5102.4
MONEY CASH,モッピー,0,2150
MONEY CASH,ハピタス (myChips),0,1294
MONEY CASH,Powl (myChips),0,1293.6
MONEY CASH,ワラウ (myChips),0,1254
MONEY CASH,COINCOME (myChips),0,1254
MONEY CASH,げん玉,780,1080
PLAYTIME,モッピー,0,1000
PLAYTIME,auポイントプログラム,0,926
PLAYTIME,GMOポイ活 (GF Rewards),0,750
PLAYTIME,ポイントタウン,0,412
PLAYTIME,PONEY,0,373
PLAYTIME,ECナビ,0,300
PLAYTIME,アメフリ,0,170
モンスターコレクト,COINCOME,1050,0
スマッシュパーティ,Powl (AppDriver),5664,5664
スマッシュパーティ,モッピー (AppDriver),5598,0
スマッシュパーティ,ハピタス (AppDriver),5044,5044
スマッシュパーティ,げん玉 (AppDriver),4842.7,4842.7
スマッシュパーティ,楽天ポイ活ミッション特集 (AppDriver),4130,4130
スマッシュパーティ,GMOポイ活,480,480
マフィア シティ,ちょびリッチ (SKYFLAG),32073.5,67001.5
マフィア シティ,ワラウ,62300,62300
マフィア シティ,Powl (AppDriver),0,61852.8
マフィア シティ,ハピタス (SKYFLAG),43631,59971
マフィア シティ,COINCOME,38270,55400
イブのモール,Powl,252.1,252.1
イブのモール,GMOポイ活,160,160
イブのモール,COINCOME,131,105
Count Earn,COINCOME,0,1182
Tap Earn,ECナビ (Zucks),0,2500
Tap Earn,モッピー (Zucks),0,2449
Tap Earn,げん玉 (Zucks),0,2400
Tap Earn,ハピタス (Zucks),0,2249
Tap Earn,ちょびリッチ (Zucks),0,2000
Tap Earn,Powl (Zucks),0,2000
Supreme King,GMOポイ活,1000,0
Supreme King,COINCOME,690,0
Supreme King,げん玉 (GF Rewards),0,485.6
Supreme King,Powl,0,400
Supreme King,アメフリ,0,373
Supreme King,ちょびリッチ (GF Rewards),0,368.5
Rise of Kingdoms,Powl,0,2100
Rise of Kingdoms,GMOポイ活,0,1900
Rise of Kingdoms,COINCOME,0,1200
王国のドラゴン,COINCOME,0,2804
Idle Bank Tycoon,モッピー,170,0
戦国布武,ハピタス (SKYFLAG),9954,9954
戦国布武,Powl (SKYFLAG),7910.3,7910.3
戦国布武,ワラウ,7800,7800
戦国布武,モッピー (SKYFLAG),7640,7640
戦国布武,COINCOME,7460,7460
戦国布武,アメフリ,7368,7368
Tower Challenge,GMOポイ活,0,800
Tower Challenge,COINCOME,0,157
Gold Miner,ECナビ (Zucks),0,2500
Gold Miner,モッピー (Zucks),0,2449
Gold Miner,Powl (AppDriver),0,2400
Gold Miner,げん玉 (Zucks),0,2400
Gold Miner,ハピタス (Zucks),0,2249
Knife Ninja,ECナビ (Zucks),0,2500
Knife Ninja,モッピー (Zucks),0,2449
Knife Ninja,Powl (AppDriver),0,2400
Knife Ninja,げん玉 (Zucks),0,2400
Knife Ninja,ハピタス (Zucks),0,2249
Solve Earn,ECナビ (Zucks),0,2495
Solve Earn,モッピー (Zucks),0,2444
Solve Earn,げん玉 (Zucks),0,2395.2
Solve Earn,ハピタス (Zucks),0,2245
Solve Earn,ちょびリッチ (Zucks),0,1996
Solve Earn,Powl (Zucks),0,1996
Match Ninja,ECナビ (Zucks),0,2495
Match Ninja,モッピー (Zucks),0,2444
Match Ninja,Powl (AppDriver),0,2395.2
Match Ninja,げん玉 (Zucks),0,2395.2
Match Ninja,ハピタス (Zucks),0,2245
Cash Mafia,ECナビ (Zucks),0,2500
Cash Mafia,モッピー (Zucks),0,2449
Cash Mafia,げん玉 (Zucks),0,2400
Cash Mafia,ハピタス (Zucks),0,2249
Cash Mafia,ちょびリッチ (Zucks),0,2000
Cash Mafia,Powl (Zucks),0,2000
